Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
A1BG,ENSG00000121410.11,9.815,7.315,0.379,1.92E-01
A1BG-AS1,ENSG00000268895.5,1.645,1.77,-0.067,7.02E-01
A1CF,ENSG00000148584.14,0,0.01,-0.014,9.33E-02
A2M,ENSG00000175899.14,65.215,73.697,-0.174,5.76E-03
A2M-AS1,ENSG00000245105.2,1.685,3.61,-0.78,3.94E-16
A2ML1,ENSG00000166535.19,0.345,0.565,-0.219,1.00E+00
A2MP1,ENSG00000256069.7,0.02,0.13,-0.148,1.77E-40
A3GALT2,ENSG00000184389.9,0.05,0.035,0.021,1.83E-03
A4GALT,ENSG00000128274.15,6.93,5.915,0.198,1.17E-01
A4GNT,ENSG00000118017.3,0.01,0.115,-0.143,1.70E-20
AAAS,ENSG00000094914.12,42.289,64.585,-0.599,3.04E-16
AACS,ENSG00000081760.16,10.78,9.905,0.111,9.53E-01
AACSP1,ENSG00000250420.8,0.01,0,0.014,1.38E-01
AADAC,ENSG00000114771.13,1.55,0.1,1.213,9.23E-23
AADACL2,ENSG00000197953.5,0.01,0.03,-0.028,6.37E-02
AADACL3,ENSG00000188984.11,0.01,0,0.014,3.50E-03
AADACP1,ENSG00000240602.7,1.035,0.1,0.888,6.44E-15
AADAT,ENSG00000109576.13,1.77,4.695,-1.04,2.14E-18
AAED1,ENSG00000158122.11,5.775,4.68,0.254,1.57E-02
AAGAB,ENSG00000103591.12,18.4,9.265,0.918,7.28E-20
AAK1,ENSG00000115977.18,22.74,5.3,1.914,4.80E-53
AAMDC,ENSG00000087884.14,29.64,55.408,-0.881,7.33E-12
AAMP,ENSG00000127837.9,78.46,114.201,-0.536,1.12E-13
AANAT,ENSG00000129673.9,0.245,0.17,0.09,1.99E-02
AAR2,ENSG00000131043.11,23.445,19.865,0.228,2.93E-04
AARD,ENSG00000205002.3,1.38,0.05,1.181,6.69E-24
AARS,ENSG00000090861.15,35.375,44.755,-0.331,7.51E-03
AARS2,ENSG00000124608.4,4.85,8.65,-0.722,1.73E-13
AARSD1,ENSG00000266967.6,14.945,63.979,-2.027,5.97E-101
AASDH,ENSG00000157426.13,3,7.065,-1.012,6.22E-31
AASDHPPT,ENSG00000149313.10,15.545,15.795,-0.022,6.75E-01
AASS,ENSG00000008311.14,0.87,60.896,-5.049,2.63E-196
AATBC,ENSG00000215458.8,0.385,0.455,-0.071,1.00E+00
AATF,ENSG00000275700.4,32.25,29.415,0.129,3.03E-01
AATK,ENSG00000181409.11,0.85,1.13,-0.203,8.88E-01
AB019441.29,ENSG00000225200.2,1.145,3.465,-1.058,8.58E-30
ABALON,ENSG00000281376.1,0.56,0.275,0.291,2.16E-08
ABAT,ENSG00000183044.11,3.78,8.535,-0.996,1.61E-12
ABBA01017803.1,ENSG00000279800.2,0.06,0.14,-0.105,7.17E-18
ABC12-49244600F4.4,ENSG00000276144.1,0.18,0.61,-0.448,1.39E-13
ABC7-42404400C24.1,ENSG00000277758.4,0.125,0.59,-0.499,4.36E-33
ABCA1,ENSG00000165029.15,3.905,5.709,-0.452,2.70E-03
ABCA10,ENSG00000154263.17,0.2,52.075,-5.467,6.12E-282
ABCA11P,ENSG00000251595.7,1.945,4.665,-0.944,2.06E-17
ABCA12,ENSG00000144452.14,0.04,0.02,0.028,1.59E-01
ABCA13,ENSG00000179869.14,0.25,0.03,0.279,2.76E-12
ABCA17P,ENSG00000238098.8,0.96,1.44,-0.316,3.78E-04
ABCA2,ENSG00000107331.16,15.495,13.275,0.209,2.62E-01
ABCA3,ENSG00000167972.13,6.23,3.725,0.614,2.45E-07
ABCA4,ENSG00000198691.11,1.025,0.285,0.656,2.72E-12
ABCA5,ENSG00000154265.15,1.89,18.37,-2.745,1.08E-120
ABCA6,ENSG00000154262.12,0.33,46.106,-5.146,5.42E-228
ABCA7,ENSG00000064687.12,3.005,1.715,0.561,9.23E-07
ABCA8,ENSG00000141338.13,0.35,76.968,-5.852,1.13E-253
ABCA9,ENSG00000154258.16,0.17,29.765,-4.717,1.96E-272
ABCA9-AS1,ENSG00000231749.3,0.04,0.445,-0.474,1.68E-12
ABCB1,ENSG00000085563.14,0.545,4.175,-1.744,5.33E-97
ABCB10,ENSG00000135776.4,4.78,5.605,-0.193,2.49E-01
ABCB11,ENSG00000073734.8,0.01,0,0.014,4.31E-02
ABCB4,ENSG00000005471.15,0.22,0.53,-0.327,2.59E-18
ABCB5,ENSG00000004846.16,0.03,0.01,0.028,1.87E-01
ABCB6,ENSG00000115657.12,12.57,56.96,-2.095,1.34E-65
ABCB7,ENSG00000131269.15,8.905,13.99,-0.598,1.64E-16
ABCB8,ENSG00000197150.12,15.095,24.254,-0.65,4.53E-12
ABCB9,ENSG00000150967.17,4.715,4.465,0.065,1.05E-01
ABCC1,ENSG00000103222.18,10.795,9.2,0.21,8.19E-02
ABCC10,ENSG00000124574.14,8.605,25.37,-1.457,1.08E-46
ABCC11,ENSG00000121270.15,0.12,0.06,0.079,5.10E-02
ABCC13,ENSG00000243064.8,0.01,0,0.014,1.07E-01
ABCC2,ENSG00000023839.10,0.08,0.32,-0.289,4.41E-36
